Ticker,Company Name
A,"Agilent Technologies, Inc."
AA,Alcoa Corporation
AACG,ATA Creativity Global
AACT,Ares Acquisition Corporation II
AADI,"Aadi Bioscience, Inc."
AAME,Atlantic American Corporation
AAL,American Airlines Group Inc.
AAM,AA Mission Acquisition Corp.
AAOI,"Applied Optoelectronics, Inc."
AAON,"AAON, Inc."
AAP,"Advance Auto Parts, Inc."
AAPL,Apple Inc.
AAT,"American Assets Trust, Inc."
AB,AllianceBernstein Holding L.P.
ABAT,American Battery Technology Company
ABBV,AbbVie Inc.
ABCB,Ameris Bancorp
ABCL,AbCellera Biologics Inc.
ABEO,Abeona Therapeutics Inc.
ABEV,Ambev S.A.
ABG,"Asbury Automotive Group, Inc."
ABL,"Abacus Life, Inc."
ABLV,Able View Global Inc.
ABM,ABM Industries Incorporated
ABNB,"Airbnb, Inc."
ABOS,"Acumen Pharmaceuticals, Inc."
ABP,"Abpro Holdings, Inc."
ABR,"Arbor Realty Trust, Inc."
ABSI,Absci Corporation
ABT,Abbott Laboratories
ABTS,Abits Group Inc.
ABUS,Arbutus Biopharma Corporation
ABVC,"ABVC BioPharma, Inc."
ABVE,Above Food Ingredients Inc.
ABVX,ABIVAX Société Anonyme
AC,"Associated Capital Group, Inc."
ACA,"Arcosa, Inc."
ACAD,ACADIA Pharmaceuticals Inc.
ACB,Aurora Cannabis Inc.
ACCD,"Accolade, Inc."
ACCO,ACCO Brands Corporation
ACDC,ProFrac Holding Corp.
ACEL,"Accel Entertainment, Inc."
ACET,"Adicet Bio, Inc."
ACGL,Arch Capital Group Ltd.
ACHC,"Acadia Healthcare Company, Inc."
ACHL,Achilles Therapeutics plc
ACHR,Archer Aviation Inc.
ACHV,"Achieve Life Sciences, Inc."
ACI,"Albertsons Companies, Inc."
ACIC,American Coastal Insurance Corporation
ACIU,AC Immune SA
ACIW,"ACI Worldwide, Inc."
ACLS,"Axcelis Technologies, Inc."
ACLX,"Arcellx, Inc."
ACM,AECOM
ACMR,"ACM Research, Inc."
ACN,Accenture plc
ACNB,ACNB Corporation
ACNT,Ascent Industries Co.
ACOG,Alpha Cognition Inc.
ACON,"Aclarion, Inc."
ACR,ACRES Commercial Realty Corp.
ACRE,Ares Commercial Real Estate Corporation
ACRS,"Aclaris Therapeutics, Inc."
ACRV,"Acrivon Therapeutics, Inc."
ACT,"Enact Holdings, Inc."
ACTG,Acacia Research Corporation
ACTU,"Actuate Therapeutics, Inc."
ACU,Acme United Corporation
ACVA,ACV Auctions Inc.
ACXP,"Acurx Pharmaceuticals, Inc."
ADAG,Adagene Inc.
ADAP,Adaptimmune Therapeutics plc
ADBE,Adobe Inc.
ADC,Agree Realty Corporation
ADCT,ADC Therapeutics SA
ADD,"Color Star Technology Co., Ltd."
ADEA,Adeia Inc.
ADGM,"Adagio Medical Holdings, Inc."
ADI,"Analog Devices, Inc."
ADIL,"Adial Pharmaceuticals, Inc."
ADM,Archer-Daniels-Midland Company
ADMA,"ADMA Biologics, Inc."
ADN,"Advent Technologies Holdings, Inc."
ADNT,Adient plc
ADP,"Automatic Data Processing, Inc."
ADPT,Adaptive Biotechnologies Corporation
ADSE,ADS-TEC Energy PLC
ADSK,"Autodesk, Inc."
ADT,ADT Inc.
